timestamp,side,priceUsd,inputMint,outputMint,amountAtomic,amountInput,amountUsd,slippageBps,mode,sizeValue,signature,status,error
2025-11-06T14:54:05.256Z,BUY,158.152928,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16456814,16.456814000,16.456814,50,pct,0.2,3FfXiwqh9o6g1VEE8p2pRh6RnUgfpsBSWxj5KLsrC7wLZ2bcPn7r2NbxvzKyL3g23smUJHDRLYzxMAENYwfF7a4a,submitted,
2025-11-06T14:54:14.552Z,BUY,158.067871,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:54:16.545Z,BUY,158.053356,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:54:17.214Z,BUY,158.047180,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:54:20.534Z,BUY,157.988680,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:54:32.273Z,BUY,157.894000,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:55:35.704Z,SELL,157.887856,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104127515,0.104127515,16.440470,50,0.2,5zpotkjACMqaYNEyhbzw5v4Bdy6i6zJ3iaLtE23tte1eazuB6CyDJDvtUp9MZYohrnu5srvP1LVbL7Lq61tKa63r,submitted,
2025-11-06T14:55:44.973Z,SELL,157.970500,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10574204,0.010574204,1.670412,50,0.2,,failed,Transaction too large: 1276 > 1232
2025-11-06T14:55:45.471Z,SELL,157.975000,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10574204,0.010574204,1.670460,50,0.2,,failed,Simulation failed. Message: Transaction simulation failed: Error processing Instruction 5: Program failed to complete.
2025-11-06T14:55:48.946Z,SELL,157.939783,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104110457,0.104110457,16.443183,50,0.2,2Wnk2g9w6F8gkSYunRoJueLXP1CF8SGJtDEDokjub1QbCcbWmoK6tJhCp2Je5CA1jqasTeSb5QkgnKvPevG9A3Wa,submitted,
